,Time,Estimated_Susceptible,Estimated_Exposed,Estimated_Infected,Estimated_Resistant,est_beta,err,est_beta
46,46.0,24865474.99999958,364.92857184869996,521.2714285714286,4533.8,7.668249376861305e-10,26.7285714285714,7.668249376861305e-10
47,47.0,24865435.99999979,364.9285716353713,430.37142857142857,4663.7,4.627410641064969e-10,16.628571428571433,4.627410641064969e-10
48,48.0,24865421.999999877,364.92857155085227,422.27142857142854,4685.8,2.7924143024066445e-10,15.728571428571456,2.7924143024066445e-10
49,49.0,24865407.999999937,364.9285714910743,361.97142857142853,4760.1,1.6850844326675606e-10,9.028571428571468,1.6850844326675606e-10
50,50.0,24865366.999999963,364.92857146405214,342.1714285714286,4820.9,1.0168654208829519e-10,6.828571428571422,1.0168654208829519e-10
51,51.0,24865319.999999978,364.92857145157734,365.57142857142856,4844.5,6.136281743934726e-11,9.428571428571445,6.136281743934726e-11
52,52.0,24865266.999999985,364.92857144319476,383.57142857142856,4879.5,3.702943660597224e-11,11.428571428571445,3.702943660597224e-11
53,53.0,24865206.99999999,364.9285714379097,404.27142857142854,4918.8,2.234544032592425e-11,13.728571428571456,2.234544032592425e-11
54,54.0,24865099.999999993,364.92857143527164,475.37142857142857,4954.7,1.3484372140606573e-11,21.628571428571433,1.3484372140606573e-11
55,55.0,24864770.999999993,364.92857143494126,732.7714285714285,5026.3,8.137154129550356e-12,50.22857142857151,8.137154129550356e-12
56,56.0,24864412.999999996,364.9285714340205,1027.0714285714287,5090.0,4.91037154991458e-12,82.92857142857133,4.91037154991458e-12
57,57.0,24864047.999999996,364.9285714328639,1332.1714285714286,5149.9,2.9631672663748894e-12,116.82857142857142,2.9631672663748894e-12
58,58.0,24863785.999999996,364.92857143155675,1531.0714285714287,5213.0,1.788125431903591e-12,138.92857142857133,1.788125431903591e-12
59,59.0,24863341.999999996,364.92857143082057,1904.5714285714284,5283.5,1.0790455862885528e-12,180.42857142857156,1.0790455862885528e-12
60,60.0,24862909.0,364.92857143019097,2267.2714285714283,5353.8,6.511508401557941e-13,220.72857142857174,6.511508401557941e-13
61,61.0,24862638.0,364.9285714296446,2486.8714285714286,5405.2,3.929374458532163e-13,245.12857142857138,3.929374458532163e-13
62,62.0,24862323.0,364.9285714292835,2731.6714285714284,5475.4,2.3711838614331866e-13,272.32857142857165,2.3711838614331866e-13
63,63.0,24861994.0,364.92857142904177,2987.2714285714283,5548.8,1.4308926176561538e-13,300.72857142857174,1.4308926176561538e-13
64,64.0,24861166.0,364.9285714289216,3679.3714285714286,5684.7,8.634731859321806e-14,377.6285714285714,8.634731859321806e-14
65,65.0,24860149.0,364.9285714288295,4487.571428571428,5893.5,5.2106351910957255e-14,467.42857142857156,5.2106351910957255e-14
66,66.0,24859134.0,364.928571428752,5198.571428571428,6197.5,3.144361577988459e-14,546.4285714285716,3.144361577988459e-14
67,67.0,24859134.0,364.9285714286804,5198.571428571428,6197.5,1.8974672704060026e-14,546.4285714285716,1.8974672704060026e-14
68,68.0,24859134.0,364.9285714286372,5198.571428571428,6197.5,1.1450279978822334e-14,546.4285714285716,1.1450279978822334e-14
69,69.0,24859134.0,364.9285714286111,5198.571428571428,6197.5,6.90967974195229e-15,546.4285714285716,6.90967974195229e-15
70,70.0,24859134.0,364.9285714285954,5198.571428571428,6197.5,4.169651242122388e-15,546.4285714285716,4.169651242122388e-15
71,71.0,24859134.0,364.9285714285859,5198.571428571428,6197.5,2.5161790604235043e-15,546.4285714285716,2.5161790604235043e-15
72,72.0,24859134.0,364.92857142858014,5198.571428571428,6197.5,1.5183900754469437e-15,546.4285714285716,1.5183900754469437e-15
73,73.0,24859134.0,364.92857142857673,5198.571428571428,6197.5,9.162735901743526e-16,546.4285714285716,9.162735901743526e-16
74,74.0,24859134.0,364.9285714285746,5198.571428571428,6197.5,5.529259612711023e-16,546.4285714285716,5.529259612711023e-16
75,75.0,24837918.0,364.92857142857855,19231.371428571427,13380.7,3.3366357158607504e-16,2105.628571428573,3.3366357158607504e-16
76,76.0,24837918.0,364.9285714285757,19231.371428571427,13380.7,2.0134952380901054e-16,2105.628571428573,2.0134952380901054e-16
77,77.0,24837918.0,364.92857142857406,19231.371428571427,13380.7,1.2150451589725631e-16,2105.628571428573,1.2150451589725631e-16
78,78.0,24837918.0,364.928571428573,19231.371428571427,13380.7,7.33219880739834e-17,2105.628571428573,7.33219880739834e-17
79,79.0,24837918.0,364.9285714285724,19231.371428571427,13380.7,4.424620678022685e-17,2105.628571428573,4.424620678022685e-17
80,80.0,24837918.0,364.928571428572,19231.371428571427,13380.7,2.6700405510871033e-17,2105.628571428573,2.6700405510871033e-17
81,81.0,24837918.0,364.9285714285718,19231.371428571427,13380.7,1.6112379033665314e-17,2105.628571428573,1.6112379033665314e-17
82,82.0,24837918.0,364.9285714285717,19231.371428571427,13380.7,9.723026791439486e-18,2105.628571428573,9.723026791439486e-18
83,83.0,24837918.0,364.92857142857156,19231.371428571427,13380.7,5.867367555686465e-18,2105.628571428573,5.867367555686465e-18
84,84.0,24819689.0,364.9285714285715,19123.371428571427,31717.7,3.540667198801906e-18,2093.628571428573,3.540667198801906e-18
85,85.0,24814200.0,364.9285714285715,21784.671428571426,34545.4,2.1366181841670932e-18,2389.328571428574,2.1366181841670932e-18
86,86.0,24812950.0,364.9285714285715,20341.071428571428,37239.0,1.2893437899100698e-18,2228.9285714285725,1.2893437899100698e-18
87,87.0,24812161.0,364.92857142857144,18266.571428571428,40102.5,7.780554433630348e-19,1998.4285714285725,7.780554433630348e-19
88,88.0,24811432.0,364.92857142857144,15072.471428571427,44025.6,4.695181205232102e-19,1643.5285714285728,4.695181205232102e-19
